id,image,label
1741,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_26.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_26_mask.tif
1742,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_27.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_27_mask.tif
1743,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_28.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_28_mask.tif
1744,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_29.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_29_mask.tif
1745,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_3.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_3_mask.tif
1746,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_30.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_30_mask.tif
1747,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_31.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_31_mask.tif
1748,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_32.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_32_mask.tif
1749,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_33.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_33_mask.tif
1750,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_34.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_34_mask.tif
1751,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_35.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_35_mask.tif
1752,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_36.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_36_mask.tif
1753,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_37.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_37_mask.tif
1754,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_4.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_4_mask.tif
1755,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_5.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_5_mask.tif
1756,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_6.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_6_mask.tif
1757,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_7.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_7_mask.tif
1758,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_8.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_8_mask.tif
1759,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_9.tif,./archive/kaggle_3m\TCGA_DU_8162_19961029\TCGA_DU_8162_19961029_9_mask.tif
1760,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_1.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_1_mask.tif
1761,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_10.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_10_mask.tif
1762,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_11.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_11_mask.tif
1763,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_12.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_12_mask.tif
1764,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_13.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_13_mask.tif
1765,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_14.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_14_mask.tif
1766,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_15.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_15_mask.tif
1767,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_16.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_16_mask.tif
1768,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_17.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_17_mask.tif
1769,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_18.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_18_mask.tif
1770,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_19.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_19_mask.tif
1771,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_2.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_2_mask.tif
1772,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_20.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_20_mask.tif
1773,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_21.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_21_mask.tif
1774,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_22.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_22_mask.tif
1775,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_23.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_23_mask.tif
1776,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_24.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_24_mask.tif
1777,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_25.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_25_mask.tif
1778,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_26.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_26_mask.tif
1779,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_27.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_27_mask.tif
1780,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_28.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_28_mask.tif
1781,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_29.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_29_mask.tif
1782,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_3.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_3_mask.tif
1783,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_30.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_30_mask.tif
1784,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_31.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_31_mask.tif
1785,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_32.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_32_mask.tif
1786,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_33.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_33_mask.tif
1787,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_34.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_34_mask.tif
1788,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_35.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_35_mask.tif
1789,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_36.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_36_mask.tif
1790,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_37.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_37_mask.tif
1791,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_4.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_4_mask.tif
1792,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_5.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_5_mask.tif
1793,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_6.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_6_mask.tif
1794,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_7.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_7_mask.tif
1795,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_8.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_8_mask.tif
1796,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_9.tif,./archive/kaggle_3m\TCGA_DU_8163_19961119\TCGA_DU_8163_19961119_9_mask.tif
1797,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_1.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_1_mask.tif
1798,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_10.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_10_mask.tif
1799,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_11.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_11_mask.tif
1800,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_12.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_12_mask.tif
1801,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_13.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_13_mask.tif
1802,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_14.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_14_mask.tif
1803,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_15.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_15_mask.tif
1804,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_16.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_16_mask.tif
1805,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_17.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_17_mask.tif
1806,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_18.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_18_mask.tif
1807,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_19.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_19_mask.tif
1808,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_2.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_2_mask.tif
1809,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_20.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_20_mask.tif
1810,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_21.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_21_mask.tif
1811,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_22.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_22_mask.tif
1812,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_23.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_23_mask.tif
1813,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_24.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_24_mask.tif
1814,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_25.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_25_mask.tif
1815,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_26.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_26_mask.tif
1816,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_27.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_27_mask.tif
1817,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_28.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_28_mask.tif
1818,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_29.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_29_mask.tif
1819,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_3.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_3_mask.tif
1820,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_30.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_30_mask.tif
1821,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_31.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_31_mask.tif
1822,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_32.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_32_mask.tif
1823,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_33.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_33_mask.tif
1824,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_34.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_34_mask.tif
1825,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_35.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_35_mask.tif
1826,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_36.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_36_mask.tif
1827,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_37.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_37_mask.tif
1828,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_4.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_4_mask.tif
1829,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_5.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_5_mask.tif
1830,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_6.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_6_mask.tif
1831,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_7.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_7_mask.tif
1832,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_8.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_8_mask.tif
1833,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_9.tif,./archive/kaggle_3m\TCGA_DU_8164_19970111\TCGA_DU_8164_19970111_9_mask.tif
1834,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_1.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_1_mask.tif
1835,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_10.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_10_mask.tif
1836,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_11.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_11_mask.tif
1837,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_12.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_12_mask.tif
1838,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_13.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_13_mask.tif
1839,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_14.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_14_mask.tif
1840,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_15.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_15_mask.tif
1841,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_16.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_16_mask.tif
1842,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_17.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_17_mask.tif
1843,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_18.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_18_mask.tif
1844,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_19.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_19_mask.tif
1845,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_2.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_2_mask.tif
1846,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_20.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_20_mask.tif
1847,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_21.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_21_mask.tif
1848,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_22.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_22_mask.tif
1849,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_23.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_23_mask.tif
1850,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_24.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_24_mask.tif
1851,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_25.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_25_mask.tif
1852,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_26.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_26_mask.tif
1853,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_27.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_27_mask.tif
1854,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_28.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_28_mask.tif
1855,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_29.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_29_mask.tif
1856,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_3.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_3_mask.tif
1857,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_30.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_30_mask.tif
1858,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_31.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_31_mask.tif
1859,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_32.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_32_mask.tif
1860,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_33.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_33_mask.tif
1861,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_34.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_34_mask.tif
1862,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_35.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_35_mask.tif
1863,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_36.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_36_mask.tif
1864,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_4.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_4_mask.tif
1865,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_5.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_5_mask.tif
1866,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_6.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_6_mask.tif
1867,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_7.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_7_mask.tif
1868,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_8.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_8_mask.tif
1869,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_9.tif,./archive/kaggle_3m\TCGA_DU_8165_19970205\TCGA_DU_8165_19970205_9_mask.tif
1870,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_1.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_1_mask.tif
1871,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_10.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_10_mask.tif
1872,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_11.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_11_mask.tif
1873,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_12.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_12_mask.tif
1874,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_13.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_13_mask.tif
1875,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_14.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_14_mask.tif
1876,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_15.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_15_mask.tif
1877,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_16.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_16_mask.tif
1878,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_17.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_17_mask.tif
1879,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_18.tif,./archive/kaggle_3m\TCGA_DU_8166_19970322\TCGA_DU_8166_19970322_18_mask.tif
